"Region, subregion, country or area *",Notes,Country code,Type,Parent code,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Seychelles,,690,Country/Area,910,36.33,36.9,37.48,38,38.51,38.96,39.39,39.84,40.32,40.9,41.61,42.46,43.46,44.55,45.68,46.79,47.87,48.92,50,51.13,52.37,53.71,55.13,56.61,58.1,59.58,61.04,62.48,63.85,65.11,66.24,67.24,68.12,68.84,69.4,69.77,69.94,69.95,69.93,70.09,70.57,71.45,72.66,74.07,75.44,76.65,77.6,78.36,79.06,79.9,81,82.41,84.08,85.81,87.39,88.65,89.53,90.08,90.45,90.79,91.27,91.88,92.61,93.4,94.21,94.98,95.71,96.42,97.09,97.74,98.34
Somalia,,706,Country/Area,910,2264.08,2307.68,2351.94,2397.19,2443.65,2491.54,2541.02,2592.15,2645.03,2699.62,2755.97,2814.13,2874.22,2936.48,3001.16,3068.47,3143.65,3227.84,3312.74,3386.74,3444.57,3472.36,3479.79,3512.63,3632.99,3880.29,4278.97,4802.13,5375.02,5892.76,6281.14,6511.12,6608.04,6618.59,6614.71,6648.63,6736.75,6862.27,7005.23,7133.26,7225.09,7274.03,7295.38,7315.86,7372.59,7491.65,7682.68,7936.12,8235.06,8553.6,8872.25,9186.72,9501.34,9815.41,10130.25,10446.86,10763.9,11080.12,11397.19,11717.69,12043.89,12376.31,12715.49,13063.71,13423.57,13797.2,14185.64,14589.17,15008.23,15442.91,15893.22
South Sudan,,728,Country/Area,910,2482.31,2501.57,2525.2,2552.93,2584.51,2619.72,2658.3,2700.08,2744.85,2792.44,2842.72,2895.61,2951.04,3009.06,3069.74,3133.16,3199.35,3268.39,3340.43,3415.57,3494.01,3575.9,3661.44,3750.78,3844.09,3941.61,4041.79,4144.55,4253.09,4371.71,4502.6,4646.48,4799.44,4953.15,5096.48,5220.75,5328.17,5419.81,5485.29,5511.58,5492.62,5420.18,5305.45,5185.71,5111.37,5118.08,5221.93,5411.65,5661.93,5933.88,6199.4,6447.79,6688.23,6935.67,7213.35,7535.93,7907.41,8315.14,8736.93,9142.26,9508.37,9830.7,10113.65,10355.03,10554.88,10715.66,10832.52,10910.77,10975.92,11062.11,11193.73
Uganda,,800,Country/Area,910,5158.19,5307.72,5452.86,5596.32,5740.77,5888.79,6042.93,6205.62,6379.22,6565.84,6767.09,6983.82,7215.8,7461.64,7719.11,7986.06,8263.43,8550.44,8841.16,9127.86,9405.61,9671.86,9929.64,10186.45,10453.03,10737.4,11042.98,11368.62,11712.54,12071.14,12442.33,12825.08,13221.99,13638.73,14082.87,14559.36,15070.32,15612.75,16180.13,16763.04,17354.4,17953.53,18561.67,19175.99,19793.54,20413.16,21032.82,21655.39,22290.79,22952.41,23650.16,24388.97,25167.26,25980.55,26821.3,27684.59,28571.48,29486.34,30431.73,31411.1,32428.16,33476.77,34558.7,35694.52,36911.53,38225.45,39649.17,41166.59,42729.03,44269.59,45741
United Republic of Tanzania,3,834,Country/Area,910,7649.77,7844.89,8050.98,8267.42,8493.75,8729.67,8974.99,9229.73,9493.99,9768.04,10052.15,10346.7,10651.95,10968.2,11295.68,11634.84,11985.44,12348.19,12725.52,13120.59,13535.49,13971.7,14428.34,14902.27,15388.93,15885.23,16390.16,16905.22,17432.76,17976.22,18538.26,19120.68,19723.32,20344.55,20981.78,21633.8,22296.28,22971.21,23670.81,24411.74,25203.85,26056.61,26961.2,27887.2,28792.65,29649.13,30444.52,31192.85,31924.2,32682.24,33499.18,34385.85,35334.79,36337.78,37379.77,38450.32,39548.67,40681.42,41853.94,43073.83,44346.53,45673.52,47053.03,48483.13,49960.56,51482.64,53049.23,54660.35,56313.44,58005.46,59734.21
Zambia,,894,Country/Area,910,2310.44,2368.61,2431.34,2498.46,2569.75,2644.98,2723.87,2806.17,2891.58,2979.84,3070.78,3164.33,3260.65,3360.1,3463.21,3570.47,3681.95,3797.88,3918.87,4045.74,4179.06,4319.23,4466.17,4619.55,4778.72,4943.28,5112.82,5287.54,5468.26,5656.15,5851.82,6055.36,6265.87,6481.91,6701.55,6923.15,7146.97,7372.84,7598.27,7820.2,8036.85,8246.66,8451.35,8656.48,8869.75,9096.61,9339.74,9597.61,9866.47,10140.56,10415.94,10692.2,10971.7,11256.74,11550.64,11856.24,12173.52,12502.96,12848.53,13215.14,13605.99,14023.2,14465.15,14926.55,15399.79,15879.37,16363.45,16853.61,17351.71,17861.03,18383.96
Zimbabwe,,716,Country/Area,910,2746.85,2832.25,2922.04,3015.66,3112.78,3213.29,3317.28,3425.07,3537.17,3654.17,3776.68,3905.04,4039.21,4178.73,4322.85,4471.18,4623.34,4779.83,4941.9,5111.33,5289.31,5476.98,5673.91,5877.73,6085.08,6293.88,6502.57,6712.83,6929.66,7160.02,7408.63,7675.58,7958.24,8254.75,8562.26,8877.49,9200.15,9527.2,9849.13,10153.85,10432.41,10681.01,10900.51,11092.78,11261.75,11410.72,11541.22,11653.25,11747.08,11822.72,11881.48,11923.91,11954.29,11982.22,12019.91,12076.7,12155.5,12255.92,12379.55,12526.96,12697.73,12894.32,13115.15,13350.38,13586.71,13814.64,14030.34,14236.6,14438.81,14645.47,14862.93
Middle Africa,,911,Subregion,947,26453.76,26924.02,27431.1,27966.48,28523.67,29098.32,29688.19,30293.22,30915.07,31556.95,32222.19,32912.88,33628.77,34366.75,35122.15,35893.21,36678.01,37482.03,38320.02,39211.53,40170.68,41203.36,42306.19,43471.98,44689.04,45948.71,47251.85,48601.41,49993.13,51421.88,52885.38,54384.1,55923.49,57512.88,59164.7,60890.05,62683.38,64547.11,66509.05,68604.83,70855.12,73283.54,75871.12,78544.4,81201.9,83775.18,86236.38,88620.04,90996.94,93469.85,96115.55,98955.62,101974.57,105166.96,108515.91,112008.24,115648.28,119442.04,123378.45,127442.33,131622.13,135912.68,140314.56,144828.58,149457.57,154203.23,159064.78,164039,169121.88,174308.43,179595.13
Angola,,24,Country/Area,911,4548.02,4616.55,4713.16,4823.33,4935.96,5043.25,5140.91,5228.01,5306.54,5380.72,5454.94,5531.45,5608.5,5679.41,5735,5770.57,5781.31,5774.44,5771.97,5803.68,5890.36,6041.24,6248.97,6497.28,6761.62,7023.99,7279.63,7533.81,7790.77,8058.11,8341.29,8640.48,8952.97,9278.1,9614.76,9961.99,10320.12,10689.25,11068.05,11454.78,11848.39,12248.9,12657.36,13075.04,13503.75,13945.21,14400.72,14871.57,15359.6,15866.87,16395.48,16945.75,17519.42,18121.48,18758.14,19433.6,20149.91,20905.36,21695.64,22514.28,23356.25,24220.66,25107.93,26015.79,26941.77,27884.38,28842.48,29816.77,30809.79,31825.3,32866.27
Cameroon,,120,Country/Area,911,4307.02,4383.96,4462.13,4541.79,4623.28,4707,4793.39,4883.01,4976.41,5074.2,5176.92,5285.02,5398.73,5518.1,5643.04,5773.54,5909.87,6052.42,6201.41,6357.1,6519.75,6689.66,6867.17,7052.85,7247.28,7451.06,7664.4,7887.57,8121.08,8365.56,8621.41,8888.53,9166.81,9456.5,9757.85,10070.81,10395.48,10731.06,11075.42,11425.81,11780.09,12137.91,12499.5,12864.09,13230.98,13599.98,13970.81,14344.44,14723.77,15112.6,15513.94,15928.91,16357.61,16800.87,17259.32,17733.41,18223.68,18730.28,19252.67,19789.92,20341.24,20906.39,21485.27,22077.3,22681.85,23298.38,23926.55,24566.07,25216.26,25876.39,26545.86
Central African Republic,,140,Country/Area,911,1326.66,1341.72,1356.12,1370.52,1385.45,1401.34,1418.48,1437.06,1457.12,1478.68,1501.67,1526.06,1551.91,1579.38,1608.62,1639.71,1673.02,1708.31,1744.2,1778.87,1811.16,1840.52,1867.79,1894.85,1924.39,1958.37,1997.02,2039.91,2087.66,2140.78,2199.36,2264.44,2335.34,2408.32,2478.38,2542.17,2597.77,2646.84,2693.97,2745.74,2806.74,2878.51,2959.24,3046.15,3135.02,3222.66,3308.24,3392.43,3475.49,3558.02,3640.42,3722.02,3802.13,3881.19,3959.88,4038.38,4118.08,4198,4273.37,4337.62,4386.77,4418.64,4436.41,4447.95,4464.17,4493.17,4537.68,4596.02,4666.38,4745.18,4829.76
Chad,,148,Country/Area,911,2502.32,2543.88,2588.87,2636.25,2685.19,2735.21,2786.05,2837.77,2890.64,2945.1,3001.6,3060.37,3121.23,3183.58,3246.53,3309.58,3372.18,3434.82,3499.37,3568.4,3643.61,3726.19,3815.25,3907.89,3999.92,4088.57,4173.13,4255.24,4337.29,4422.74,4514.43,4612.86,4718.16,4832.32,4957.56,5095.4,5247.28,5412.84,5589.62,5773.93,5963.25,6157.09,6356.74,6563.93,6781.06,7010.16,7250.97,7503.49,7770.05,8053.53,8355.65,8678.05,9019.23,9373.91,9734.76,10096.63,10457.12,10818.03,11183.59,11560.14,11952.13,12360.99,12784.75,13220.43,13663.56,14110.97,14561.66,15016.76,15477.73,15946.88,16425.86
Congo,,178,Country/Area,911,827.25,842.48,858.41,875.11,892.63,911.03,930.38,950.72,972.1,994.6,1018.25,1043.12,1069.24,1096.64,1125.35,1155.39,1186.78,1219.55,1253.76,1289.52,1326.89,1365.89,1406.51,1448.63,1492.06,1536.66,1582.36,1629.22,1677.33,1726.87,1777.93,1830.63,1884.87,1940.45,1996.99,2054.31,2112.36,2171.32,2231.46,2293.16,2356.74,2422.31,2489.95,2559.88,2632.35,2707.53,2785.82,2867.28,2951.65,3038.43,3127.42,3217.93,3310.38,3406.92,3510.47,3622.78,3745.14,3876.12,4011.49,4145.4,4273.74,4394.84,4510.2,4622.76,4736.97,4856.09,4981,5110.7,5244.36,5380.5,5518.09
Democratic Republic of the Congo,,180,Country/Area,911,12183.66,12428.91,12681.01,12944.45,13222.53,13517.52,13830.43,14161.22,14508.92,14871.79,15248.26,15637.7,16041.19,16461.83,16903.83,17369.88,17862.05,18378.62,18913.87,19459.82,20011.03,20564.06,21121.36,21690.45,22282.13,22903.59,23560.47,24249.13,24956.39,25663.6,26358.91,27040.33,27717.29,28403.86,29119.66,29881.22,30683.88,31528.7,32443.78,33464.77,34612.02,35908.24,37333.92,38815.84,40252.97,41576.24,42757.24,43827.19,44849.97,45919.62,47105.83,48428.53,49871.67,51425.58,53068.87,54785.89,56578.05,58453.69,60411.2,62448.57,64563.85,66755.15,69020.75,71358.8,73767.45,76244.53,78789.13,81398.77,84068.09,86790.57,89561.4
Equatorial Guinea,,226,Country/Area,911,225.53,230.91,234.19,236.32,238.03,239.87,242.14,244.96,248.25,251.77,255.34,258.79,262.22,266.01,270.62,276.3,283.51,291.79,299.42,304,303.99,298.85,289.51,277.66,265.76,255.81,247.97,242.16,239.68,241.98,249.93,264.37,284.64,308.21,331.55,352.12,369.02,382.98,394.97,406.62,419.19,432.84,447.27,462.64,479.1,496.77,515.84,536.46,558.5,581.77,606.18,631.66,658.39,686.67,716.95,749.53,784.49,821.69,860.84,901.59,943.64,986.86,1031.19,1076.41,1122.27,1168.58,1215.18,1262.01,1308.97,1355.98,1402.99
Gabon,,266,Country/Area,911,473.3,476.38,478.66,480.54,482.33,484.31,486.64,489.44,492.76,496.59,500.92,505.79,511.29,517.57,524.89,533.36,543.12,554.05,565.76,577.64,589.32,600.61,611.71,622.91,634.74,647.54,661.4,676.26,692.08,708.79,726.34,744.7,763.93,784.06,805.12,827.11,850.05,873.87,898.47,923.71,949.49,975.79,1002.57,1029.77,1057.25,1084.95,1112.94,1141.33,1170.06,1199.06,1228.36,1258.01,1288.31,1319.95,1353.79,1390.55,1430.14,1472.57,1518.54,1568.93,1624.15,1684.63,1749.68,1817.07,1883.8,1947.69,2007.88,2064.81,2119.28,2172.58,2225.73
Sao Tome and Principe,,678,Country/Area,911,60,59.22,58.55,58.18,58.26,58.81,59.77,61.03,62.35,63.51,64.29,64.6,64.48,64.24,64.28,64.88,66.17,68.04,70.26,72.5,74.57,76.34,77.93,79.46,81.15,83.13,85.48,88.1,90.85,93.46,95.79,97.77,99.48,101.06,102.83,104.93,107.43,110.26,113.29,116.31,119.21,121.95,124.57,127.07,129.43,131.68,133.8,135.83,137.86,139.96,142.26,144.76,147.45,150.41,153.74,157.47,161.68,166.3,171.12,175.88,180.37,184.52,188.39,192.08,195.73,199.44,203.22,207.09,211.03,215.05,219.16
Southern Africa,,913,Subregion,947,15533.04,15866.07,16209.74,16564.21,16929.93,17307.49,17697.84,18102.02,18521.3,18957.06,19410.55,19882.73,20373.92,20883.82,21411.85,21957.65,22520.7,23101.68,23702.71,24326.61,24975.15,25650.57,26351.71,27072.71,27805.52,28545.01,29287.11,30035.18,30800.49,31598.76,32440.46,33330.63,34263.58,35226.35,36200.23,37171.82,38132.11,39084.46,40042.29,41025.61,42046.34,43109.47,44202.38,45297.91,46358.89,47358.23,48288.91,49157.38,49967.17,50726.51,51443.87,52118.96,52755.96,53373.85,53997.12,54644.68,55322.72,56031.32,56775.57,57559.14,58383.37,59251.69,60161.26,61098.55,62044.7,62985.04,63914.65,64833.79,65739.49,66629.89,67503.65
Botswana,,72,Country/Area,913,412.54,424,435.03,445.33,454.78,463.35,471.23,478.66,486.08,493.96,502.73,512.69,523.78,535.69,547.87,560,571.96,584.1,596.95,611.3,627.71,646.35,667.1,689.91,714.7,741.35,769.98,800.53,832.47,865.07,897.86,930.41,962.86,996.12,1031.44,1069.59,1110.95,1154.9,1200.07,1244.48,1286.76,1326.32,1363.54,1399.11,1434.06,1469.17,1504.72,1540.42,1575.83,1610.26,1643.33,1674.67,1704.64,1734.39,1765.53,1799.08,1835.91,1875.46,1915.64,1953.5,1987.11,2015.41,2039.55,2062.55,2088.62,2120.72,2159.93,2205.08,2254.07,2303.7,2351.63
Eswatini,,748,Country/Area,913,273,279.36,285.29,291.08,296.94,303.03,309.41,316.04,322.86,329.74,336.58,343.35,350.16,357.28,365.12,373.93,383.82,394.76,406.51,418.74,431.25,443.98,457.04,470.56,484.75,499.76,515.6,532.25,549.79,568.32,587.85,608.37,629.81,652.11,675.24,699.08,723.6,748.63,773.77,798.5,822.42,845.27,867,887.71,907.62,926.84,945.51,963.42,979.92,994.11,1005.43,1013.61,1019.05,1022.8,1026.29,1030.58,1036.1,1042.65,1049.95,1057.46,1064.84,1072.03,1079.29,1086.84,1095.02,1104.04,1113.99,1124.81,1136.27,1148.13,1160.16
Lesotho,,426,Country/Area,913,704.69,716.81,729,741.34,753.9,766.76,779.97,793.59,807.66,822.21,837.26,852.89,869.13,886.06,903.76,922.31,941.8,962.28,983.68,1005.91,1028.93,1052.62,1077.1,1102.89,1130.63,1160.8,1193.52,1228.53,1265.21,1302.67,1340.26,1377.81,1415.36,1452.73,1489.69,1526.13,1561.69,1596.4,1630.99,1666.56,1703.76,1742.53,1782.28,1822.24,1861.32,1898.6,1934.29,1968.05,1997.52,2019.73,2032.81,2035.74,2029.83,2018.36,2005.95,1996.12,1989.93,1986.93,1987.13,1990.14,1995.58,2003.79,2014.99,2028.53,2043.45,2059.01,2075.04,2091.53,2108.33,2125.27,2142.25
Namibia,,516,Country/Area,913,514.38,523.96,534.16,544.9,556.14,567.85,580.02,592.7,605.9,619.7,634.14,649.27,665.12,681.63,698.8,716.59,734.87,753.68,773.43,794.59,817.47,842.35,868.95,896.26,922.9,947.93,971.12,992.96,1014.06,1035.38,1057.72,1080.94,1105.1,1131.62,1162.28,1198.15,1239.92,1286.8,1336.55,1386.01,1432.9,1476.4,1516.95,1555.1,1591.83,1627.87,1663.38,1698.03,1731.64,1763.86,1794.58,1823.67,1851.52,1879.11,1907.74,1938.32,1971.32,2006.52,2043.38,2081.04,2118.88,2156.7,2194.78,2233.51,2273.43,2314.9,2358.04,2402.62,2448.3,2494.52,2540.92
South Africa,,710,Country/Area,913,13628.43,13921.93,14226.26,14541.56,14868.16,15206.5,15557.2,15921.02,16298.8,16691.45,17099.84,17524.53,17965.73,18423.16,18896.3,19384.84,19888.26,20406.86,20942.15,21496.08,22069.78,22665.27,23281.52,23913.09,24552.54,25195.18,25836.89,26480.92,27138.97,27827.33,28556.77,29333.1,30150.45,30993.76,31841.59,32678.88,33495.96,34297.73,35100.91,35930.06,36800.51,37718.95,38672.61,39633.75,40564.06,41435.76,42241.01,42987.46,43682.26,44338.55,44967.71,45571.27,46150.91,46719.2,47291.61,47880.6,48489.46,49119.77,49779.47,50477.01,51216.97,52003.76,52832.66,53687.13,54544.18,55386.37,56207.65,57009.75,57792.52,58558.27,59308.69
Western Africa,,914,Subregion,947,70875.17,71979.85,73162.51,74414.92,75731.35,77108.32,78545.05,80043.02,81605.92,83238.96,84947.08,86733.43,88597.69,90535.39,92539.74,94607.33,96738.69,98940.45,101222.7,103598.81,106080.02,108668.39,111366.48,114186.19,117141.53,120241.78,123493.22,126891.74,130422.4,134063.66,137799.46,141624.71,145542.71,149556.33,153671.19,157891.46,162220.47,166656.46,171192.91,175820.53,180535.02,185334.4,190227.59,195234.75,200382.69,205691.82,211175.76,216834.49,222658.96,228633.07,234748.62,241003.26,247412.25,254005.68,260823.42,267894.67,275232.08,282830.15,290676.99,298752.07,307040.41,315538.37,324250.94,333181.56,342336.09,351717.64,361327.31,371159.56,381202.45,391440.15,401861.26
Benin,,204,Country/Area,914,2255.22,2258.48,2264.86,2274.48,2287.38,2303.59,2323.05,2345.71,2371.46,2400.13,2431.62,2465.87,2502.9,2542.86,2585.96,2632.36,2682.16,2735.31,2791.59,2850.66,2912.34,2976.58,3043.56,3113.68,3187.41,3265.17,3347.17,3433.45,3523.93,3618.52,3717.16,3820.13,3927.72,4039.94,4156.82,4278.5,4404.5,4535.26,4672.84,4820.02,4978.49,5149.5,5331.81,5521.76,5714.22,5905.55,6094.27,6281.64,6470.28,6664.1,6865.95,7076.73,7295.4,7520.56,7750,7982.22,8216.89,8454.79,8696.92,8944.71,9199.25,9460.83,9729.25,10004.59,10286.84,10575.96,10872.07,11175.19,11485.04,11801.15,12123.2
Burkina Faso,,854,Country/Area,914,4284.46,4324.49,4367.14,4413.2,4463.17,4517.16,4574.95,4635.95,4699.35,4764.09,4829.29,4894.58,4960.33,5027.81,5098.89,5174.87,5256.36,5343.03,5434.05,5528.17,5624.59,5723.38,5825.17,5930.49,6040.05,6154.55,6274.03,6398.93,6530.82,6671.66,6822.84,6985.17,7158.26,7340.91,7531.24,7727.91,7930.69,8140.08,8356.31,8579.82,8811.03,9050.09,9297.11,9552.47,9816.58,10089.88,10372.73,10665.55,10968.72,11282.7,11607.95,11944.59,12293.1,12654.62,13030.58,13421.94,13829.17,14252.03,14689.73,15141.1,15605.21,16081.92,16571.25,17072.79,17586.03,18110.62,18646.35,19193.24,19751.47,20321.38,20903.28
Cabo Verde,,132,Country/Area,914,178.06,186.08,191.45,194.72,196.46,197.19,197.42,197.59,198.13,199.43,201.77,205.32,210.14,216.09,222.95,230.42,238.66,247.52,256.17,263.46,268.63,271.32,271.84,271.07,270.23,270.24,271.35,273.34,276.18,279.73,283.85,288.68,294.24,300.23,306.14,311.67,316.61,321.14,325.74,331.18,337.95,346.23,355.76,366.06,376.41,386.29,395.53,404.25,412.51,420.46,428.18,435.7,442.96,449.93,456.62,463.03,469.17,475.07,480.85,486.67,492.64,498.86,505.24,511.74,518.28,524.74,531.14,537.5,543.76,549.94,555.99
Côte d'Ivoire,,384,Country/Area,914,2630.13,2690.63,2761.08,2838.19,2919.71,3004.42,3092.2,3183.96,3281.51,3387.29,3503.56,3631.55,3770.76,3918.63,4071.41,4226.84,4383.72,4544.17,4713.13,4897.47,5102.07,5328.74,5576.03,5841.51,6121.3,6412.41,6713.95,7026.5,7350.27,7685.93,8033.65,8393.69,8764.99,9144.94,9530.1,9918.2,10307.27,10698.19,11094.74,11502.45,11924.87,12362.4,12812.43,13271.64,13735.44,14199.76,14665.13,15130.67,15589.41,16032.57,16454.66,16853.03,17231.54,17599.61,17970.49,18354.51,18754.91,19171.25,19605.57,20059.15,20532.94,21028.65,21547.19,22087.51,22647.67,23226.15,23822.73,24437.48,25069.23,25716.55,26378.28
Gambia,,270,Country/Area,914,304.9,309.08,313.53,318.38,323.76,329.66,336.12,343.01,350.23,357.63,365.05,372.44,379.89,387.64,396.01,405.26,415.48,426.62,438.59,451.23,464.4,478.11,492.42,507.43,523.25,539.99,557.81,576.76,596.54,616.77,637.25,657.58,678.11,700.2,725.69,755.79,791.14,831.01,873.44,915.63,955.6,992.67,1027.48,1060.86,1094.22,1128.58,1164.09,1200.52,1238.12,1277.12,1317.71,1360.07,1404.26,1449.93,1496.52,1543.75,1591.44,1639.85,1689.29,1740.28,1793.2,1848.14,1905.02,1963.71,2024.04,2085.86,2149.13,2213.9,2280.09,2347.7,2416.66
Ghana,,288,Country/Area,914,5036.15,5140.32,5268.65,5413.37,5568.65,5730.59,5897.35,6069,6247.3,6435.16,6635.23,6848.29,7071.97,7300.12,7524.47,7739.46,7941.42,8132.8,8321.77,8520.02,8735.49,8973.25,9229.64,9493.55,9749.1,9985.95,10199.16,10395.45,10590.27,10805.32,11056.11,11348.29,11676.83,12033.56,12405.66,12783.62,13164.84,13552.02,13947.05,14353.41,14773.27,15207.36,15653.35,16106.76,16561.68,17014.06,17462.5,17908.98,18357.16,18812.37,19278.85,19756.93,20246.38,20750.31,21272.33,21814.65,22379.06,22963.95,23563.83,24170.94,24779.61,25387.71,25996.45,26607.64,27224.48,27849.2,28481.95,29121.46,29767.11,30417.86,31072.95
Guinea,,324,Country/Area,914,3012.94,3054,3095.61,3138.45,3183.01,3229.64,3278.5,3329.56,3382.71,3437.67,3494.16,3552.07,3611.43,3672.56,3735.91,3801.71,3870.2,3941.05,4013.05,4084.6,4154.61,4223.06,4290.54,4357.36,4424.03,4491.25,4559.24,4628.88,4702.37,4782.49,4871.45,4969.6,5077.07,5195.44,5326.37,5470.72,5629.42,5801.32,5982.48,6167.48,6352.28,6534.94,6716.03,6897.17,7081.12,7269.63,7463.78,7662.07,7860.77,8054.75,8240.74,8417.08,8586.08,8753.1,8925.73,9109.59,9307.42,9518.16,9738.8,9964.47,10192.17,10420.46,10652.03,10892.82,11150.97,11432.1,11738.43,12067.52,12414.29,12771.25,13132.79
Guinea-Bissau,,624,Country/Area,914,535.44,544.41,552.57,560.36,568.16,576.13,584.34,592.67,600.93,608.84,616.14,622.75,628.88,635.01,641.82,649.8,659,669.24,680.43,692.41,704.94,718.36,732.52,746.18,757.67,765.99,770.42,771.73,772.14,774.73,781.68,793.8,810.4,830.21,851.28,872.16,892.53,912.76,933.05,953.78,975.27,997.52,1020.35,1043.42,1066.35,1088.85,1110.84,1132.51,1154.37,1177.13,1201.31,1227.11,1254.45,1283.3,1313.49,1344.93,1377.58,1411.55,1446.94,1483.92,1522.6,1563,1604.98,1648.26,1692.43,1737.21,1782.43,1828.15,1874.3,1920.92,1968
Liberia,,430,Country/Area,914,930.02,943.66,958.7,975.06,992.65,1011.37,1031.14,1051.83,1073.38,1095.67,1118.66,1142.3,1166.65,1191.8,1217.91,1245.1,1273.46,1303.03,1333.98,1366.5,1400.73,1436.74,1474.57,1514.36,1556.29,1600.45,1645.83,1692.16,1740.92,1794.25,1852.99,1918.83,1989.48,2057.23,2111.67,2145.76,2158.43,2153.31,2134.11,2106.43,2075.92,2040.14,2001.61,1976.7,1986.49,2044.66,2160.48,2326.21,2517.47,2699.71,2848.45,2953.93,3024.73,3077.06,3135.65,3218.11,3329.21,3461.91,3607.86,3754.13,3891.36,4017.45,4135.66,4248.34,4359.51,4472.23,4586.79,4702.22,4818.98,4937.37,5057.68
Mali,,466,Country/Area,914,4708.43,4759.04,4811.2,4864.75,4919.55,4975.4,5032.12,5089.51,5147.34,5205.45,5263.73,5322.27,5381.37,5441.62,5503.75,5568.5,5635.86,5706.19,5780.84,5861.42,5949.04,6044.52,6147.46,6256.19,6368.35,6482.28,6596.72,6712.27,6831.09,6956.41,7090.12,7234.73,7388.67,7545.16,7694.86,7831.89,7952.86,8062.22,8171.53,8296.92,8449.92,8635.53,8850.33,9087.17,9334.89,9585.66,9837.58,10094.36,10360.56,10642.94,10946.45,11271.6,11616.89,11982.69,12369.08,12775.51,13203.38,13651.46,14113.58,14581.43,15049.35,15514.59,15979.49,16449.85,16934.21,17438.77,17965.45,18512.43,19077.76,19658.02,20250.83
Mauritania,,478,Country/Area,914,651.43,666.81,683.14,700.49,718.87,738.3,758.75,780.22,802.67,826.07,850.38,875.59,901.69,928.74,956.79,985.91,1016.09,1047.35,1079.58,1112.75,1146.78,1181.66,1217.44,1254.16,1291.86,1330.59,1370.36,1411.14,1453.03,1496.17,1540.64,1586.5,1633.66,1681.86,1730.74,1780.03,1829.68,1879.76,1930.43,1981.9,2034.35,2087.91,2142.65,2198.54,2255.52,2313.63,2372.9,2433.57,2496.22,2561.58,2630.22,2702.41,2778.1,2857.15,2939.25,3024.2,3111.91,3202.51,3296.24,3393.41,3494.2,3598.65,3706.56,3817.5,3930.89,4046.3,4163.53,4282.58,4403.31,4525.7,4649.66
Niger,,562,Country/Area,914,2559.71,2638.13,2716.82,2795.8,2875.27,2955.54,3037.05,3120.42,3206.34,3295.57,3388.77,3486.32,3588.23,3693.99,3802.8,3914.12,4027.97,4144.59,4263.93,4385.93,4510.65,4637.98,4768.23,4902.15,5040.8,5184.94,5335.08,5491.16,5652.66,5818.76,5989,6163.71,6343.53,6528.65,6719.31,6915.99,7118.89,7328.93,7548.43,7780.24,8026.59,8288.74,8566.77,8860.3,9168.32,9490.29,9826.6,10178.2,10545.72,10929.92,11331.56,11751.36,12189.99,12647.98,13125.91,13624.47,14143.97,14685.4,15250.91,15843.13,16464.03,17114.77,17795.21,18504.29,19240.18,20001.66,20788.79,21602.39,22442.83,23310.72,24206.64
Nigeria,,566,Country/Area,914,37859.75,38424.14,39035.44,39686.16,40370.85,41086.1,41830.62,42605.12,43412.09,44255.34,45138.46,46063.57,47029.82,48032.93,49066.76,50127.92,51217.97,52342.23,53506.2,54717.04,55982.14,57296.99,58665.81,60114.62,61677.17,63374.29,65221.38,67203.13,69271.92,71361.14,73423.65,75440.51,77427.54,79414.84,81448.76,83562.78,85766.4,88048.03,90395.28,92788.04,95212.45,97667.63,100161.71,102700.75,105293.7,107948.34,110668.78,113457.66,116319.76,119260.06,122283.85,125394.05,128596.08,131900.63,135320.42,138865.01,142538.31,146339.97,150269.62,154324.94,158503.2,162805.08,167228.8,171765.82,176404.93,181137.45,185960.24,190873.25,195874.69,200963.6,206139.59
Saint Helena,4,654,Country/Area,914,5.25,5.29,5.32,5.33,5.34,5.35,5.35,5.36,5.37,5.38,5.36,5.34,5.33,5.33,5.31,5.33,5.37,5.42,5.51,5.6,5.7,5.8,5.91,6.03,6.14,6.23,6.32,6.4,6.46,6.52,6.58,6.65,6.7,6.76,6.8,6.82,6.82,6.8,6.76,6.72,6.65,6.57,6.49,6.39,6.31,6.24,6.2,6.19,6.17,6.13,6.05,5.94,5.8,5.64,5.49,5.35,5.26,5.18,5.15,5.14,5.18,5.28,5.42,5.58,5.74,5.87,5.96,6.01,6.04,6.06,6.07
