"Region, subregion, country or area *",Notes,Country code,Type,Parent code,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Upper-middle-income countries,h,1502,Income Group,1517,938930.87,962815.77,984350.36,1004407.6,1023703.19,1042795.68,1062079.98,1081793.82,1102036.12,1122797.98,1144055.21,1165867.5,1188464.5,1212283.27,1237863.01,1265536.21,1295466.03,1327401.34,1360729.5,1394587.98,1428300.05,1461718.44,1494865.8,1527449.24,1559172.74,1589857.23,1619357.07,1647778.35,1675530.56,1703200.56,1731254.57,1759631.9,1788295.21,1817741.48,1848584.48,1881154.74,1915773.96,1952035.61,1988638.75,2023800.6,2056240.37,2085468.34,2111839.47,2135960.53,2158819.68,2181157.42,2203131.21,2224549,2245404.17,2265614.22,2285144.58,2304075.89,2322554.14,2340682.49,2358576.56,2376344.61,2393987.48,2411566.34,2429314.4,2447520.38,2466363.51,2485922.68,2506065.07,2526484.85,2546751.06,2566519.31,2585693.59,2604262.47,2622069.76,2638958.43,2654816.33
Lower-middle-income countries,h,1501,Income Group,1517,764665.63,778270.21,792779.09,808128.58,824269.4,841166.39,858799.36,877162.37,896261.57,916111.83,936725.71,958102.45,980217.67,1003019.38,1026439.82,1050431.28,1074980.68,1100104.03,1125820.57,1152162.66,1179160.58,1206825.9,1235172.36,1264237.58,1294066.32,1324698.21,1356116.49,1388331.03,1421434.94,1455547.09,1490733.25,1527011.51,1564297.21,1602419.88,1641147.74,1680291.13,1719782.87,1759595.71,1799627.72,1839775.24,1879958.61,1920105.18,1960194.22,2000266.82,2040400.23,2080646.21,2121015.51,2161469.45,2201954.3,2242396.16,2282746.43,2322985.21,2363140.5,2403271.68,2443463.24,2483779.21,2524225.56,2564789.45,2605491.3,2646351.07,2687374.67,2728568.95,2769907.44,2811318.78,2852707.09,2893996.28,2935149.85,2976160.19,3017014.45,3057708.88,3098235.28
Low-income countries,h,1500,Income Group,1802,137041.87,139118.85,141351.56,143768.5,146387.1,149213.77,152243.27,155459.34,158836.73,162344.22,165954.46,169654.33,173453.86,177390.31,181516.85,185870.73,190464.08,195281.27,200296.63,205471.92,210778.28,216209.48,221771.91,227463.97,233286.84,239242.4,245339.11,251579.53,257953.66,264447.33,271057.73,277785.34,284656.96,291729.93,299078.66,306762.09,314787.16,323153.69,331902.04,341076.96,350700.96,360816.17,371393.16,382295.65,393336.01,404386.61,415391.4,426409.4,437569.66,449060.76,461020.98,473477.93,486392.24,499752.27,513527.21,527685.62,542261.64,557248.25,572522.77,587921.34,603339.58,618725.58,634150.12,649783.54,665865.82,682575.7,699950.58,717952.43,736589.38,755849.74,775710.61
No income group available,,1518,Income Group,1802,803.55,825.62,846.92,868.47,891.18,915.47,941.56,969.2,997.96,1027.14,1056.11,1084.49,1112.37,1140.39,1169.38,1199.97,1232.85,1267.23,1300.78,1329.89,1352.52,1367.28,1375.76,1381.03,1388.05,1400.09,1418.54,1442.48,1470.13,1498.79,1526.54,1552.72,1578.25,1604.48,1633.57,1666.82,1704.84,1746.81,1790.85,1834.43,1875.68,1913.92,1949.88,1984.55,2019.61,2056.24,2094.46,2133.87,2174.87,2218.01,2263.48,2311.69,2362.07,2412.45,2459.99,2502.65,2539.78,2572,2600.3,2626.12,2650.79,2674.37,2696.82,2719.45,2743.81,2771.03,2801.61,2835.36,2871.2,2907.67,2943.57
Africa,j,903,Region,1840,227794.14,232327.86,237096.56,242092.46,247310.6,252748.92,258408.22,264292.21,270407.03,276760.72,283361.17,290214.47,297322.6,304683.37,312291.85,320147.3,328256.59,336631.18,345280.35,354214.82,363447.59,372983.51,382837.77,393044.44,403645.94,414674.68,426144.46,438054.81,450403.9,463183.56,476386.23,490003.91,504034.18,518479.76,533345.15,548626.14,564327.3,580424.29,596849.01,613512.11,630349.69,647344.04,664512.03,681869.33,699445.41,717270.11,735361.11,753737.58,772437.16,791504.17,810984.23,830902.54,851298.44,872248.34,893842.79,916154.29,939210.05,963021.84,987623.52,1013045.73,1039304.03,1066409.71,1094343.03,1123045.14,1152433.62,1182438.8,1213040.54,1244222.27,1275921.01,1308064.18,1340598.11
Asia,k,935,Region,1840,1404908.99,1435819.07,1464833.76,1492894.96,1520767.94,1549041.91,1578122.02,1608237.03,1639460.78,1671747.88,1705041.06,1739385.85,1775030.79,1812470.36,1852323.21,1894974.24,1940602.03,1988923.05,2039270.16,2090702.39,2142480.29,2194450.68,2246636.2,2298696.36,2350279.01,2401171.42,2451184.26,2500443.53,2549465.8,2598988.42,2649578.33,2701224.87,2753837.84,2807785.25,2863496.85,2921173.21,2981064.01,3042805.99,3105220.24,3166705.92,3226098.92,3282945.32,3337511.63,3390245.43,3441912.68,3493087,3543851.24,3594032.71,3643662.92,3692736.1,3741263.35,3789285.36,3836880.25,3884134.62,3931146.46,3977986.45,4024679.89,4071214.94,4117572.12,4163712.8,4209593.72,4255189.62,4300462.19,4345331.32,4389699.5,4433475.32,4476607.79,4519040.02,4560667.14,4601371.27,4641054.79
Europe,l,908,Region,1840,549328.86,554324.51,559694.36,565281.96,570969.74,576678.76,582371.32,588048.22,593743.36,599513.23,605406.97,611434.04,617536.17,623575.13,629367.17,634783.19,639761.94,644345.49,648636.12,652789.65,656919.37,661056.1,665163.51,669207.97,673132.24,676895.46,680497.66,683959.54,687285.86,690485.02,693566.52,696513.45,699330.02,702070.43,704807.48,707584.19,710422.13,713279.28,716056.66,718617.28,720858.41,722775.86,724390.03,725656.79,726529.36,726994.43,727020.29,726669.42,726141.84,725705.44,725558.03,725771.94,726312.06,727134.24,728149.84,729287.88,730546.85,731938.56,733416.48,734923.39,736413,737850.65,739225.17,740541.88,741818.28,743058.98,744268.79,745414.76,746419.44,747182.82,747636.05
Latin America and the Caribbean,m,904,Region,1840,168820.52,173280.49,177915.93,182708.88,187647.75,192727.23,197948.66,203319.93,208853.82,214566.1,220469.72,226567.97,232848.86,239282.57,245828.55,252455.93,259154.15,265925.62,272768.31,279684.29,286675.71,293738.01,300869.45,308078.65,315378.19,322777.15,330272.37,337860.35,345548.26,353344.98,361253.18,369274.51,377395.87,385586.59,393806.37,402023.66,410223.4,418404.11,426564.86,434709.75,442840.08,450946.52,459018.54,467054.73,475055.72,483018.23,490944.03,498821.72,506620.74,514301.36,521836.32,529213.16,536441.58,543544.13,550555.24,557500.98,564384.72,571201.89,577962.67,584677.53,591352.35,597994.7,604599.46,611143.94,617596.48,623934.13,630144.54,636233.13,642216.71,648120.96,653962.33
Northern America,n,905,Region,1840,172602.61,175016.59,177778.5,180813.19,184051.53,187430.41,190892.8,194387.68,197870.18,201301.49,204649.17,207887.2,210996.18,213963.48,216782.88,219454.16,221966.41,224327.31,226580.62,228786.68,230991.86,233213.54,235449.57,237703.02,239970.84,242251.5,244552.72,246882.3,249237.76,251613.7,254007.13,256418.9,258854,261318.32,263819.45,266363.43,268958.51,271606.62,274300.34,277028.16,279785.25,282552.4,285339.7,288205.11,291227.27,294453.53,297918.8,301582.34,305324.08,308977.74,312426.79,315615.99,318585.95,321432.41,324299.3,327287.14,330425.34,333668.49,336952.72,340182.41,343287.42,346251.16,349093.38,351824.04,354464.25,357031.05,359524.64,361942.25,364295.99,366600.94,368869.64
Oceania,o,909,Region,1840,12975.9,13265.72,13542.58,13817.61,14099.2,14392.69,14700.24,15020.99,15351.52,15686.73,16021.63,16354,16686.15,17026.04,17384.63,17768.69,18181.5,18617.46,19063.87,19503.14,19922.23,20318.2,20694.1,21050.08,21387.97,21710.28,22015.37,22305.4,22592.02,22890.51,23212.08,23560.99,23934.63,24328.85,24736.22,25151.04,25572.66,26001.72,26434.89,26868.22,27298.69,27725.24,28147.95,28566.2,28979.99,29389.63,29796.47,30201.87,30607.35,31014.22,31425.09,31837.55,32254.9,32691.41,33165.77,33690.21,34271.07,34900.93,35561.16,36225.14,36873.07,37498.33,38104.73,38695.74,39278.63,39858.69,40435.63,41006.48,41570.82,42128.05,42677.81
SUB-SAHARAN AFRICA,,947,SDG region,1828,179006.53,182372.74,185911.91,189614.21,193473.91,197489.51,201663.88,206004.21,210521.19,215228.17,220137.98,225259.89,230596.36,236142.39,241888.41,247830.92,253971.9,260325.44,266914.2,273767.18,280908.11,288346.19,296085.29,304135.12,312504.59,321200.54,330231.91,339600.82,349297.12,359304.9,369613.67,380212.46,391106.81,402321.98,413893.09,425840.82,438183.67,450901.73,463931.64,477185.74,490604.85,504170.69,517912.76,531879.72,546142.85,560759.47,575759.59,591147.88,606928.48,623097.14,639661.39,656627.15,674033.15,691957.67,710499.93,729733,749688.42,770356.72,791717.39,813730.47,836363.76,859610.52,883472.69,907933.93,932975.03,958577.2,984733.52,1011429.07,1038627.21,1066283.41,1094365.61
Eastern Africa,,910,Subregion,947,66144.57,67602.81,69108.57,70668.6,72288.97,73975.38,75732.81,77565.96,79478.9,81475.2,83558.16,85730.84,87995.99,90356.43,92814.68,95372.73,98034.5,100801.28,103668.76,106630.23,109682.26,112823.87,116060.91,119404.24,122868.49,126465.04,130199.73,134072.49,138081.1,142220.6,146488.37,150873.03,155377.02,160026.43,164856.96,169887.49,175147.7,180613.7,186187.39,191734.77,197168.37,202443.28,207611.67,212802.67,218199.36,223934.24,230058.54,236535.97,243305.41,250267.7,257353.35,264549.31,271890.38,279411.18,287163.48,295185.41,303485.33,312053.22,320886.39,329976.93,339317.85,348907.79,358745.93,368825.24,379136.67,389671.3,400426.78,411396.72,422563.39,433904.94,445405.58
Burundi,,108,Country/Area,910,2308.93,2360.44,2406.03,2449.09,2492.19,2537.15,2584.91,2635.62,2688.75,2743.2,2797.93,2852.44,2907.32,2964.42,3026.29,3094.38,3170.5,3253.22,3336.93,3413.91,3479.07,3530,3569.66,3605.12,3646.43,3700.88,3770.87,3854.45,3949.26,4051.24,4157.3,4266.52,4379.73,4497.54,4621.1,4750.83,4886.75,5027.14,5168.7,5307.07,5438.96,5564.92,5685.57,5798.05,5898.96,5987.04,6060.11,6122.13,6185.56,6267.13,6378.87,6525.55,6704.12,6909.16,7131.69,7364.86,7607.85,7862.23,8126.1,8397.66,8675.61,8958.41,9245.99,9540.3,9844.3,10160.03,10488,10827.01,11175.38,11530.58,11890.78
Comoros,,174,Country/Area,910,159.46,163.15,166.54,169.75,172.85,175.91,178.95,181.99,185.05,188.09,191.12,194.15,197.2,200.37,203.76,207.43,211.48,215.9,220.57,225.32,230.06,234.65,239.23,244.21,250.11,257.29,265.96,275.9,286.63,297.45,307.83,317.62,326.94,336.09,345.46,355.34,365.77,376.65,387.96,399.64,411.6,423.87,436.45,449.27,462.28,475.39,488.63,501.96,515.38,528.85,542.36,555.9,569.48,583.21,597.23,611.63,626.43,641.62,657.23,673.25,689.7,706.58,723.87,741.51,759.39,777.44,795.6,813.89,832.32,850.89,869.6
Djibouti,,262,Country/Area,910,62,63.31,64.74,66.27,67.88,69.59,71.49,73.7,76.35,79.62,83.63,88.5,94.2,100.62,107.58,114.98,122.88,131.41,140.46,149.89,159.66,169.37,179.24,190.57,205.18,224.18,248.56,277.47,308.01,336.08,358.96,374.93,385.27,393.8,406.02,425.61,454.36,490.34,528.99,563.86,590.39,606.84,615.05,618.5,622.36,630.39,643.65,660.86,680.47,699.97,717.58,733.02,746.95,759.64,771.6,783.25,794.55,805.46,816.36,827.82,840.19,853.67,868.14,883.3,898.71,914,929.12,944.1,958.92,973.56,988
Eritrea,,232,Country/Area,910,822.35,835,849.26,864.89,881.76,899.75,918.85,939.09,960.54,983.34,1007.59,1033.32,1060.49,1088.86,1118.15,1148.19,1178.88,1210.3,1242.63,1276.12,1310.95,1347.18,1384.79,1423.75,1463.99,1505.44,1547.98,1591.62,1636.77,1683.93,1733.42,1784.56,1836.83,1890.56,1946.3,2003.94,2064.8,2127.42,2185.61,2231.14,2258.65,2266.36,2257.59,2238.63,2218.44,2204.23,2196.47,2195.19,2206.44,2237.41,2292.41,2374.72,2481.06,2600.97,2719.81,2826.65,2918.21,2996.54,3062.78,3119.92,3170.44,3213.97,3250.1,3281.45,3311.44,3342.82,3376.56,3412.89,3452.8,3497.12,3546.43
Ethiopia,,231,Country/Area,910,18128.03,18466.97,18819.7,19184.29,19560.01,19947.29,20347.81,20764.45,21201.03,21661.99,22151.28,22671.19,23221.39,23798.42,24397.01,25013.63,25641.04,26280.14,26944.39,27652.72,28415.08,29248.65,30140.8,31036.67,31861.35,32566.86,33128.15,33577.24,33993.3,34487.81,35141.7,35984.53,36995.25,38142.68,39374.35,40652.15,41965.7,43329.24,44757.21,46272.31,47887.86,49609.98,51423.59,53295.56,55180.99,57047.91,58883.53,60697.44,62507.72,64343.01,66224.81,68159.42,70142.09,72170.58,74239.51,76346.31,78489.21,80674.34,82916.24,85233.92,87639.96,90139.93,92726.98,95385.79,98094.26,100835.45,103603.46,106399.93,109224.41,112078.73,114963.58
Kenya,,404,Country/Area,910,6076.76,6242.11,6415.96,6598.17,6788.71,6987.66,7195.22,7411.77,7637.73,7873.62,8120.08,8377.69,8647,8928.51,9222.69,9530.16,9851.45,10187.49,10539.91,10910.68,11301.39,11713.05,12146.07,12600.8,13077.34,13575.9,14096.26,14638.89,15205.38,15797.77,16417.2,17063.87,17736.33,18431.76,19146.4,19877.08,20622.56,21382.11,22153.69,22935.09,23724.57,24521.71,25326.08,26136.22,26950.51,27768.3,28589.46,29415.66,30250.49,31098.76,31964.56,32848.57,33751.75,34678.78,35635.27,36624.9,37649.04,38705.93,39791.98,40901.8,42030.68,43178.27,44343.47,45519.99,46700.06,47878.34,49051.53,50221.15,51392.57,52573.97,53771.3
Madagascar,,450,Country/Area,910,4083.55,4168.39,4256.76,4348.72,4444.29,4543.54,4646.58,4753.53,4864.52,4979.75,5099.37,5223.56,5352.5,5486.32,5625.16,5769.22,5918.59,6073.53,6234.47,6401.92,6576.31,6757.85,6946.62,7142.63,7345.77,7556.03,7773.45,7998.16,8230.21,8469.68,8716.55,8971.34,9234.14,9504.28,9780.87,10063.49,10352.12,10647.75,10952.4,11268.65,11598.65,11942.81,12301.34,12675.47,13066.54,13475.4,13902.7,14347.86,14808.79,15282.52,15766.81,16260.93,16765.12,17279.14,17802.99,18336.72,18880.27,19433.52,19996.48,20569.12,21151.64,21743.97,22346.64,22961.26,23589.9,24234.08,24894.37,25570.51,26262.31,26969.31,27691.02
Malawi,,454,Country/Area,910,2953.87,3011.79,3072.39,3135.69,3201.72,3270.55,3342.25,3416.93,3494.69,3575.67,3659.98,3747.76,3839.05,3933.91,4032.36,4134.46,4240.43,4350.46,4464.43,4582.2,4703.78,4829.09,4958.56,5093.37,5235.07,5384.8,5545.65,5717.95,5896.86,6075.49,6250.43,6412.38,6565.99,6737.92,6964.61,7268.27,7666.39,8141.14,8636.69,9075.57,9404.5,9600.36,9685.97,9710.34,9745.7,9844.42,10022.78,10264.91,10552.35,10854.33,11148.75,11432,11713.66,12000.18,12301.84,12625.95,12973.69,13341.81,13727.9,14128.16,14539.61,14962.12,15396.01,15839.29,16289.55,16745.31,17205.25,17670.19,18143.22,18628.75,19129.96
Mauritius,1,480,Country/Area,910,493.26,506.43,521.19,537.05,553.62,570.65,587.95,605.49,623.27,641.42,660.03,679.05,698.31,717.41,735.86,753.28,769.56,784.77,799.14,812.94,826.45,839.59,852.39,865.17,878.36,892.22,906.92,922.33,937.82,952.58,966.04,978.07,988.89,998.62,1007.5,1015.76,1023.28,1030.18,1037.25,1045.59,1055.87,1068.43,1082.95,1098.6,1114.15,1128.68,1141.95,1154.14,1165.29,1175.57,1185.15,1193.91,1201.81,1208.99,1215.67,1222.01,1228.09,1233.89,1239.26,1244,1247.95,1251.07,1253.49,1255.46,1257.35,1259.46,1261.87,1264.5,1267.18,1269.67,1271.77
Mayotte,2,175,Country/Area,910,15.14,15.73,16.44,17.24,18.1,18.99,19.9,20.84,21.83,22.89,24.02,25.24,26.54,27.89,29.22,30.52,31.78,33.01,34.25,35.55,36.96,38.52,40.2,41.96,43.73,45.48,47.19,48.89,50.7,52.75,55.14,57.91,61.04,64.49,68.21,72.11,76.19,80.45,84.94,89.71,94.78,100.16,105.83,111.63,117.47,123.19,128.75,134.21,139.58,144.93,150.33,155.76,161.2,166.72,172.35,178.1,184.03,190.1,196.27,202.49,208.72,214.94,221.15,227.38,233.66,240.01,246.46,252.96,259.53,266.15,272.81
Mozambique,,508,Country/Area,910,5958.98,6059.45,6165.05,6275.23,6389.68,6508.4,6631.67,6760.11,6894.49,7035.8,7184.87,7342.12,7507.31,7679.47,7857.11,8039.22,8225.92,8417.7,8614.45,8816.06,9022.75,9232.66,9446.24,9668.66,9906.96,10165.22,10443.95,10738.53,11041.21,11341.41,11630.19,11913.09,12189.82,12439.77,12636.12,12764.39,12808.57,12786.35,12758,12805.95,12987.29,13328.03,13806,14370.95,14948.05,15483.28,15960.45,16397.18,16813.95,17244.18,17711.93,18221.88,18764.15,19331.1,19910.55,20493.93,21080.11,21673.32,22276.6,22894.72,23531.57,24187.5,24862.67,25560.75,26286.19,27042,27829.93,28649.01,29496.01,30366.04,31255.44
Réunion,2,638,Country/Area,910,248.11,259.29,268.48,276.52,284.08,291.66,299.58,307.98,316.88,326.17,335.69,345.41,355.43,366.09,377.8,390.77,405.29,421,436.69,450.74,462.03,470.12,475.48,478.91,481.69,484.79,488.35,492.29,496.91,502.5,509.26,517.42,526.95,537.4,548.14,558.7,568.91,578.94,588.99,599.45,610.58,622.41,634.79,647.59,660.57,673.54,686.46,699.31,712,724.48,736.71,748.65,760.25,771.38,781.86,791.6,800.53,808.73,816.33,823.53,830.51,837.34,843.98,850.51,856.96,863.36,869.74,876.13,882.53,888.93,895.31
Rwanda,,646,Country/Area,910,2186.18,2251.13,2314.18,2379.69,2450.36,2527.29,2609.86,2695.82,2781.61,2862.8,2935.58,2998.33,3052.94,3105.42,3164.26,3235.54,3321.67,3420.9,3529.84,3643.24,3757.35,3871.43,3987.22,4106.41,4231.58,4364.71,4506.11,4655.39,4812.87,4978.81,5153.31,5329.25,5504.85,5690.99,5902.85,6146.88,6443.75,6779.98,7088.19,7276.98,7288.88,7083.93,6702.24,6263.76,5936.25,5836.49,6013.11,6419.9,6962.8,7501.24,7933.69,8231.15,8427.06,8557.16,8680.52,8840.22,9043.34,9273.76,9524.53,9782.77,10039.34,10293.33,10549.67,10811.54,11083.63,11369.07,11668.83,11980.96,12301.97,12626.94,12952.21
